0, 0, 84, 66
0, 0, 100, 66
0, 4, 100, 34, jump on my cool pillars!
0, 1, 84, 82
0, 1, 100, 82
0, 0, 84, 98
0, 0, 100, 98
0, 0, 84, 114
0, 0, 100, 114
0, 0, 84, 130
0, 0, 100, 130
0, 0, 68, 242
0, 0, 84, 242
0, 0, 100, 242
0, 4, 100, 210, shortcut :)
0, 0, 116, 242
0, 3, 116, 226
0, 0, 148, 82
0, 0, 164, 82
0, 1, 148, 98
0, 1, 164, 98
0, 0, 148, 114
0, 0, 164, 114
0, 0, 148, 130
0, 0, 164, 130
0, 0, 212, 98
0, 0, 228, 98
0, 1, 212, 114
0, 1, 228, 114
0, 0, 212, 130
0, 0, 228, 130
0, 0, 276, 114
0, 0, 292, 114
0, 1, 276, 130
0, 1, 292, 130
0, 0, 340, 130
0, 0, 356, 130
0, 0, 404, 130
0, 0, 420, 130
0, 0, 468, 114
0, 0, 484, 114
0, 1, 468, 130
0, 1, 484, 130
0, 0, 532, 98
0, 0, 548, 98
0, 1, 532, 114
0, 1, 548, 114
0, 0, 532, 130
0, 0, 548, 130
0, 0, 596, 82
0, 0, 612, 82
0, 1, 596, 98
0, 1, 612, 98
0, 0, 596, 114
0, 0, 612, 114
0, 0, 596, 130
0, 0, 612, 130
0, 0, 660, 66
0, 0, 676, 66
0, 3, 676, 50
0, 1, 660, 82
0, 1, 676, 82
0, 0, 660, 98
0, 0, 676, 98
0, 0, 660, 114
0, 0, 676, 114
0, 0, 660, 130
0, 0, 676, 130
